Policy_ID,Customer_ID,Policy_Type,Region,Sum_Insured,Premium,Claim_Count,Total_Claim_Amount,Risk_Score,Start_Date
P100000,C80133,Property,East,425228,18285,0,0,0.54,2021-11-12
P100001,C59450,Health,West,316130,22708,1,73338,1.0,2024-02-02
P100002,C85688,Life,East,364412,10476,1,46059,0.904,2024-08-19
P100003,C39628,Property,West,308199,12942,0,0,0.729,2022-09-02
P100004,C27261,Auto,West,124762,7393,1,18275,1.0,2023-09-19
P100005,C54235,Auto,East,213927,12115,3,27219,1.0,2022-05-10
P100006,C71065,Auto,South,367239,18094,0,0,0.744,2020-11-17
P100007,C18402,Health,West,316666,20805,1,28570,0.947,2022-07-26
P100008,C49496,Life,East,418099,10677,0,0,0.232,2022-10-05
P100009,C26288,Life,North,340327,10259,1,337,0.355,2021-05-23
P100010,C35235,Auto,East,203330,9268,1,10826,1.0,2020-12-17
P100011,C12721,Health,North,220394,11431,0,0,0.364,2025-04-19
P100012,C85640,Health,West,310292,18069,0,0,0.495,2021-03-04
P100013,C53774,Auto,East,68596,2924,0,0,0.605,2021-05-01
P100014,C38801,Auto,East,467344,25227,1,32979,1.0,2021-09-05
P100015,C74925,Auto,North,344175,16908,1,23274,1.0,2023-02-27
P100016,C94232,Property,East,422703,17119,0,0,0.587,2021-05-14
P100017,C37496,Property,East,141940,4875,0,0,0.59,2024-01-30
P100018,C15907,Property,West,424457,14532,0,0,0.63,2020-08-06
P100019,C60305,Auto,East,523150,27030,0,0,0.701,2022-12-25
P100020,C39922,Life,South,167912,6015,0,0,0.296,2022-12-27
P100021,C22580,Auto,North,377140,15812,1,21003,1.0,2025-04-16
P100022,C79705,Auto,East,300111,13719,0,0,0.543,2023-06-01
P100023,C71610,Property,North,145557,6683,1,53718,1.0,2021-02-08
P100024,C85211,Property,North,349288,11581,0,0,0.672,2021-04-05
P100025,C84179,Life,North,383360,13230,0,0,0.269,2024-10-11
P100026,C79614,Auto,East,239887,12111,0,0,0.634,2020-07-20
P100027,C94544,Property,East,416592,16052,0,0,0.459,2023-02-10
P100028,C48052,Property,North,133324,4927,0,0,0.428,2025-05-03
P100029,C38834,Auto,South,150524,6915,2,65906,1.0,2023-07-07
P100030,C56180,Life,North,313660,8679,1,54343,1.0,2021-04-02
P100031,C41609,Auto,South,302539,17455,0,0,0.644,2024-05-23
P100032,C97576,Auto,North,228343,12439,0,0,0.74,2022-09-28
P100033,C20089,Health,West,380959,24409,0,0,0.44,2021-04-20
P100034,C33071,Health,North,353089,23717,0,0,0.564,2021-10-19
P100035,C52743,Health,North,385814,20900,0,0,0.465,2020-12-11
P100036,C80555,Property,East,287686,12051,1,13728,0.814,2024-02-22
P100037,C30181,Auto,South,360258,17725,0,0,0.673,2023-10-08
P100038,C55634,Life,West,255435,8529,0,0,0.483,2025-06-08
P100039,C19663,Property,South,505382,18673,1,13638,1.0,2024-04-14
P100040,C20263,Auto,West,218745,11564,0,0,0.749,2021-02-12
P100041,C45215,Property,North,510530,23543,0,0,0.586,2020-12-24
P100042,C17669,Auto,East,303489,14581,0,0,0.73,2023-12-02
P100043,C67266,Health,East,162449,8057,0,0,0.532,2024-09-12
P100044,C60304,Auto,South,436808,21981,0,0,0.696,2024-09-04
P100045,C97279,Life,East,312590,8800,0,0,0.344,2023-12-21
P100046,C13849,Property,South,385112,16466,0,0,0.621,2021-11-06
P100047,C51658,Property,South,422386,19944,0,0,0.568,2024-01-19
P100048,C37629,Property,West,333796,13275,0,0,0.48,2024-04-20
P100049,C92388,Auto,South,240776,11876,0,0,0.654,2022-10-11
P100050,C91516,Health,West,397571,25329,0,0,0.58,2021-04-19
P100051,C95821,Life,East,300076,7575,0,0,0.297,2022-10-24
P100052,C68890,Health,South,368586,19935,1,39008,1.0,2021-01-31
P100053,C10978,Health,South,84627,5929,0,0,0.472,2025-02-22
P100054,C21799,Property,North,344698,14725,0,0,0.494,2022-07-30
P100055,C45399,Health,South,236141,11411,1,41208,1.0,2025-02-15
P100056,C68903,Auto,South,465331,20518,0,0,0.598,2022-05-09
P100057,C18981,Auto,North,362309,19440,0,0,0.591,2021-09-22
P100058,C57430,Auto,North,323986,17913,0,0,0.821,2021-10-31
P100059,C71439,Property,East,348631,15841,0,0,0.558,2024-03-05
P100060,C77165,Property,South,200156,7341,1,32735,1.0,2024-05-24
